field,contrast,smooth,threshold,density,connected,fragmentation,entropy
chi2,1.5,0,70,0.3,0.05,63,0.8812908992306927
chi2,1.5,0,75,0.25,0.05,61,0.8112781244591328
chi2,1.5,0,80,0.0,0,0,0
chi2,1.5,1,70,0.2975,0.05042016806722689,57,0.8782134152354109
chi2,1.5,1,75,0.2475,0.06060606060606061,54,0.8072916195433455
chi2,1.5,1,80,0.195,0.0641025641025641,45,0.7118146702143197
chi2,1.5,2,70,0.2975,0.1092436974789916,44,0.8782134152354109
chi2,1.5,2,75,0.25,0.11,40,0.8112781244591328
chi2,1.5,2,80,0.1975,0.11392405063291139,36,0.7168998285940986
chi2,3.0,0,70,0.3,0.05,63,0.8812908992306927
chi2,3.0,0,75,0.0,0,0,0
chi2,3.0,0,80,0.0,0,0,0
chi2,3.0,1,70,0.2975,0.09243697478991597,50,0.8782134152354109
chi2,3.0,1,75,0.2425,0.061855670103092786,45,0.7991730330635858
chi2,3.0,1,80,0.1925,0.07792207792207792,34,0.7066720692756118
chi2,3.0,2,70,0.3,0.14166666666666666,40,0.8812908992306927
chi2,3.0,2,75,0.245,0.1326530612244898,34,0.8032566997760641
chi2,3.0,2,80,0.1975,0.16455696202531644,28,0.7168998285940986
chi2,5.0,0,70,0.0,0,0,0
chi2,5.0,0,75,0.0,0,0,0
chi2,5.0,0,80,0.0,0,0,0
chi2,5.0,1,70,0.295,0.11016949152542373,42,0.875092786771832
chi2,5.0,1,75,0.245,0.1326530612244898,31,0.8032566997760641
chi2,5.0,1,80,0.2,0.1625,31,0.7219280948873623
chi2,5.0,2,70,0.295,0.1271186440677966,37,0.875092786771832
chi2,5.0,2,75,0.2475,0.1414141414141414,30,0.8072916195433455
chi2,5.0,2,80,0.2,0.1625,29,0.7219280948873623
bias,1.5,0,70,0.3,0.09166666666666666,53,0.8812908992306927
bias,1.5,0,75,0.2475,0.06060606060606061,55,0.8072916195433455
bias,1.5,0,80,0.2,0.05,52,0.7219280948873623
bias,1.5,1,70,0.3,0.1,54,0.8812908992306927
bias,1.5,1,75,0.2475,0.06060606060606061,52,0.8072916195433455
bias,1.5,1,80,0.1975,0.06329113924050633,45,0.7168998285940986
bias,1.5,2,70,0.285,0.11403508771929824,42,0.8621745299412247
bias,1.5,2,75,0.245,0.1326530612244898,36,0.8032566997760641
bias,1.5,2,80,0.2,0.1375,36,0.7219280948873623
bias,3.0,0,70,0.3,0.09166666666666666,53,0.8812908992306927
bias,3.0,0,75,0.0,0,0,0
bias,3.0,0,80,0.0,0,0,0
bias,3.0,1,70,0.2925,0.10256410256410256,53,0.8719288024930221
bias,3.0,1,75,0.25,0.12,42,0.8112781244591328
bias,3.0,1,80,0.1975,0.12658227848101267,34,0.7168998285940986
bias,3.0,2,70,0.2975,0.11764705882352941,41,0.8782134152354109
bias,3.0,2,75,0.25,0.13,35,0.8112781244591328
bias,3.0,2,80,0.1975,0.12658227848101267,29,0.7168998285940986
bias,5.0,0,70,0.0,0,0,0
bias,5.0,0,75,0.0,0,0,0
bias,5.0,0,80,0.0,0,0,0
bias,5.0,1,70,0.2975,0.12605042016806722,42,0.8782134152354109
bias,5.0,1,75,0.2475,0.13131313131313133,37,0.8072916195433455
bias,5.0,1,80,0.1975,0.11392405063291139,32,0.7168998285940986
bias,5.0,2,70,0.2975,0.12605042016806722,38,0.8782134152354109
bias,5.0,2,75,0.2475,0.1414141414141414,31,0.8072916195433455
bias,5.0,2,80,0.1975,0.16455696202531644,25,0.7168998285940986
transmission_noisy,1.5,0,70,0.3,0.08333333333333333,63,0.8812908992306927
transmission_noisy,1.5,0,75,0.0,0,0,0
transmission_noisy,1.5,0,80,0.0,0,0,0
transmission_noisy,1.5,1,70,0.2975,0.08403361344537816,43,0.8782134152354109
transmission_noisy,1.5,1,75,0.25,0.1,36,0.8112781244591328
transmission_noisy,1.5,1,80,0.2,0.1125,31,0.7219280948873623
transmission_noisy,1.5,2,70,0.3,0.2,17,0.8812908992306927
transmission_noisy,1.5,2,75,0.2425,0.21649484536082475,19,0.7991730330635858
transmission_noisy,1.5,2,80,0.1975,0.11392405063291139,27,0.7168998285940986
transmission_noisy,3.0,0,70,0.0,0,0,0
transmission_noisy,3.0,0,75,0.0,0,0,0
transmission_noisy,3.0,0,80,0.0,0,0,0
transmission_noisy,3.0,1,70,0.2975,0.20168067226890757,28,0.8782134152354109
transmission_noisy,3.0,1,75,0.25,0.21,23,0.8112781244591328
transmission_noisy,3.0,1,80,0.2,0.2625,23,0.7219280948873623
transmission_noisy,3.0,2,70,0.295,0.3644067796610169,12,0.875092786771832
transmission_noisy,3.0,2,75,0.2475,0.24242424242424243,12,0.8072916195433455
transmission_noisy,3.0,2,80,0.2,0.2625,20,0.7219280948873623
transmission_noisy,5.0,0,70,0.0,0,0,0
transmission_noisy,5.0,0,75,0.0,0,0,0
transmission_noisy,5.0,0,80,0.0,0,0,0
transmission_noisy,5.0,1,70,0.2925,0.358974358974359,13,0.8719288024930221
transmission_noisy,5.0,1,75,0.25,0.24,15,0.8112781244591328
transmission_noisy,5.0,1,80,0.2,0.2625,20,0.7219280948873623
transmission_noisy,5.0,2,70,0.295,0.4152542372881356,10,0.875092786771832
transmission_noisy,5.0,2,75,0.25,0.42,9,0.8112781244591328
transmission_noisy,5.0,2,80,0.2,0.2625,20,0.7219280948873623
unc_maps,1.5,0,70,0.3,0.55,38,0.8812908992306927
unc_maps,1.5,0,75,0.25,0.53,32,0.8112781244591328
unc_maps,1.5,0,80,0.2,0.6125,25,0.7219280948873623
unc_maps,1.5,1,70,0.2975,0.7310924369747899,26,0.8782134152354109
unc_maps,1.5,1,75,0.25,0.69,25,0.8112781244591328
unc_maps,1.5,1,80,0.2,0.65,21,0.7219280948873623
unc_maps,1.5,2,70,0.3,0.8666666666666667,17,0.8812908992306927
unc_maps,1.5,2,75,0.25,0.82,18,0.8112781244591328
unc_maps,1.5,2,80,0.2,0.825,15,0.7219280948873623
unc_maps,3.0,0,70,0.3,0.55,38,0.8812908992306927
unc_maps,3.0,0,75,0.25,0.53,32,0.8112781244591328
unc_maps,3.0,0,80,0.2,0.6125,25,0.7219280948873623
unc_maps,3.0,1,70,0.3,0.7166666666666667,27,0.8812908992306927
unc_maps,3.0,1,75,0.25,0.65,28,0.8112781244591328
unc_maps,3.0,1,80,0.2,0.6375,21,0.7219280948873623
unc_maps,3.0,2,70,0.3,0.8333333333333334,21,0.8812908992306927
unc_maps,3.0,2,75,0.25,0.8,20,0.8112781244591328
unc_maps,3.0,2,80,0.1975,0.45569620253164556,21,0.7168998285940986
unc_maps,5.0,0,70,0.3,0.55,38,0.8812908992306927
unc_maps,5.0,0,75,0.25,0.53,32,0.8112781244591328
unc_maps,5.0,0,80,0.0,0,0,0
unc_maps,5.0,1,70,0.3,0.6833333333333333,29,0.8812908992306927
unc_maps,5.0,1,75,0.25,0.64,31,0.8112781244591328
unc_maps,5.0,1,80,0.2,0.65,23,0.7219280948873623
unc_maps,5.0,2,70,0.295,0.8220338983050848,20,0.875092786771832
unc_maps,5.0,2,75,0.25,0.77,23,0.8112781244591328
unc_maps,5.0,2,80,0.195,0.32051282051282054,26,0.7118146702143197
